Posição,Código INEP,Escola,Estado,Cidade,Dependência administrativa,Localização,Alunos,CH,CN,LC,MT,RD,Média
90,25120298,CENTRO PESSOENSE DE EDUCACAO - COLEGIO MOTIVA,Paraíba,João Pessoa,Privada,Urbana,199,638.88,620.14,606.35,745.68,861.71,694.55
103,25117963,CENTRO CAMPINENSE DE EDUCACAO LTDA COLEGIO MOTIVA,Paraíba,Campina Grande,Privada,Urbana,150,633.57,609.97,603.66,734.53,879.73,692.29
186,25306936,ESCOLA INTERNACIONAL CIDADE VIVA,Paraíba,João Pessoa,Privada,Urbana,24,612.4,610.64,606.84,717.44,862.5,681.96
188,25097539,COLEGIO E CURSO EVOLUCAO,Paraíba,João Pessoa,Privada,Urbana,71,630.14,596.76,605.1,732.48,843.38,681.57
219,25073214,ESC VIRGEM DE LOURDES,Paraíba,Campina Grande,Privada,Urbana,63,629.57,589.78,603.51,713.65,855.87,678.48
262,25129899,ISO COLEGIO E CURSOS,Paraíba,João Pessoa,Privada,Urbana,134,605.37,586.93,581.24,698.86,904.33,675.35
302,25030540,COLEGIO MONTEIRO LOBATO,Paraíba,Itaporanga,Privada,Urbana,14,597.79,570.85,606.09,718.16,867.14,672.01
397,25125494,COLEGIO TOP,Paraíba,João Pessoa,Privada,Urbana,21,593.62,581.56,591,702.58,860.95,665.94
505,25153820,CARL ROGERS - CENTRO DE EDUCACAO,Paraíba,João Pessoa,Privada,Urbana,10,605.32,586.89,592.56,701.1,820,661.17
550,25093061,COLEGIO NOSSA SENHORA DE LOURDES,Paraíba,João Pessoa,Privada,Urbana,23,603.19,591.95,590.43,679.17,827.83,658.51
675,25097326,COLEGIO GEO TAMBAU,Paraíba,João Pessoa,Privada,Urbana,94,599.5,586.85,585.34,699.23,792.55,652.69
742,25093088,COLEGIO MARISTA PIO X,Paraíba,João Pessoa,Privada,Urbana,88,606.72,573.9,586.11,680.46,800.45,649.53
940,25009087,UFCG - ESCOLA TECNICA DE SAUDE DE CAJAZEIRAS,Paraíba,Cajazeiras,Federal,Urbana,45,601.14,562.18,588.86,685.36,774.67,642.44
953,25130676,CENTRO DE ENSINO E EDUCACAO DA BORBOREMA LDTA,Paraíba,Campina Grande,Privada,Urbana,61,601.77,562.24,569.54,662.14,812.79,641.7
